"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval
	"Knox County, TN"	"47093"	43	5359	8.0	5.8	10.8
	"Madison County, TN"	"47113"	19	1251	15.2	Suppressed	Suppressed
	"Montgomery County, TN"	"47125"	19	3475	5.5	Suppressed	Suppressed
	"Putnam County, TN"	"47141"	11	920	12.0	Suppressed	Suppressed
	"Rutherford County, TN"	"47149"	28	3958	7.1	4.7	10.2
	"Shelby County, TN"	"47157"	111	13478	8.2	6.7	9.8
	"Sumner County, TN"	"47165"	12	2123	5.7	Suppressed	Suppressed
	"Washington County, TN"	"47179"	10	1341	7.5	Suppressed	Suppressed
	"Williamson County, TN"	"47187"	10	2261	4.4	Suppressed	Suppressed
	"Bell County, TX"	"48027"	45	6500	6.9	5.0	9.3
	"Bexar County, TX"	"48029"	182	28182	6.5	5.5	7.4
	"Bowie County, TX"	"48037"	17	1258	13.5	Suppressed	Suppressed
	"Brazoria County, TX"	"48039"	21	4943	4.2	2.6	6.5
	"Cameron County, TX"	"48061"	36	7242	5.0	3.5	6.9
	"Collin County, TX"	"48085"	44	10923	4.0	2.9	5.4
	"Comal County, TX"	"48091"	17	1634	10.4	Suppressed	Suppressed
	"Dallas County, TX"	"48113"	282	40131	7.0	6.2	7.8
	"Denton County, TX"	"48121"	35	10043	3.5	2.4	4.8
	"Ector County, TX"	"48135"	17	2991	5.7	Suppressed	Suppressed
	"Ellis County, TX"	"48139"	20	2126	9.4	5.7	14.5
	"El Paso County, TX"	"48141"	57	13521	4.2	3.2	5.5
	"Fort Bend County, TX"	"48157"	49	9888	5.0	3.7	6.6
	"Galveston County, TX"	"48167"	23	4218	5.5	3.5	8.2
	"Grayson County, TX"	"48181"	11	1581	7.0	Suppressed	Suppressed
	"Gregg County, TX"	"48183"	16	1859	8.6	Suppressed	Suppressed
	"Guadalupe County, TX"	"48187"	10	1838	5.4	Suppressed	Suppressed
	"Harris County, TX"	"48201"	431	73478	5.9	5.3	6.4
	"Hidalgo County, TX"	"48215"	75	16086	4.7	3.7	5.8
	"Jefferson County, TX"	"48245"	28	3783	7.4	4.9	10.7
	"Johnson County, TX"	"48251"	12	2093	5.7	Suppressed	Suppressed
	"Kaufman County, TX"	"48257"	10	1540	6.5	Suppressed	Suppressed
	"Lubbock County, TX"	"48303"	12	4113	2.9	Suppressed	Suppressed
	"McLennan County, TX"	"48309"	30	3528	8.5	5.7	12.1
