"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval
"Total"	"San Joaquin County, CA"	"06077"			135	27410	4.9	4.1	5.8
	"San Mateo County, CA"	"06081"	"2000"	"2000"	13	2180	6.0 (Unreliable)	3.2	10.2
	"San Mateo County, CA"	"06081"	"2001"	"2001"	12	2543	4.7 (Unreliable)	2.4	8.2
	"San Mateo County, CA"	"06081"	"2003"	"2003"	16	2454	6.5 (Unreliable)	3.7	10.6
	"San Mateo County, CA"	"06081"	"2005"	"2005"	12	2400	5.0 (Unreliable)	2.6	8.7
	"San Mateo County, CA"	"06081"	"2006"	"2006"	10	2470	4.0 (Unreliable)	1.9	7.4
	"San Mateo County, CA"	"06081"	"2008"	"2008"	11	2546	4.3 (Unreliable)	2.2	7.7
	"San Mateo County, CA"	"06081"	"2010"	"2010"	13	2702	4.8 (Unreliable)	2.6	8.2
	"San Mateo County, CA"	"06081"	"2015"	"2015"	13	2834	4.6 (Unreliable)	2.4	7.8
"Total"	"San Mateo County, CA"	"06081"			161	43370	3.7	3.1	4.3
"Total"	"Santa Barbara County, CA"	"06083"			14	3937	3.6 (Unreliable)	1.9	6.0
	"Santa Clara County, CA"	"06085"	"1999"	"1999"	31	6867	4.5	3.1	6.4
	"Santa Clara County, CA"	"06085"	"2000"	"2000"	34	7101	4.8	3.3	6.7
	"Santa Clara County, CA"	"06085"	"2001"	"2001"	24	8999	2.7	1.7	4.0
	"Santa Clara County, CA"	"06085"	"2002"	"2002"	24	8632	2.8	1.8	4.1
	"Santa Clara County, CA"	"06085"	"2003"	"2003"	28	9051	3.1	2.1	4.5
	"Santa Clara County, CA"	"06085"	"2004"	"2004"	34	8750	3.9	2.7	5.4
	"Santa Clara County, CA"	"06085"	"2005"	"2005"	27	8442	3.2	2.1	4.7
	"Santa Clara County, CA"	"06085"	"2006"	"2006"	35	8202	4.3	3.0	5.9
	"Santa Clara County, CA"	"06085"	"2007"	"2007"	28	8680	3.2	2.1	4.7
	"Santa Clara County, CA"	"06085"	"2008"	"2008"	27	9061	3.0	2.0	4.3
	"Santa Clara County, CA"	"06085"	"2009"	"2009"	36	8398	4.3	3.0	5.9
	"Santa Clara County, CA"	"06085"	"2010"	"2010"	18	8399	2.1 (Unreliable)	1.3	3.4
	"Santa Clara County, CA"	"06085"	"2011"	"2011"	14	7945	1.8 (Unreliable)	1.0	3.0
	"Santa Clara County, CA"	"06085"	"2012"	"2012"	26	8175	3.2	2.1	4.7
	"Santa Clara County, CA"	"06085"	"2013"	"2013"	16	8982	1.8 (Unreliable)	1.0	2.9
	"Santa Clara County, CA"	"06085"	"2014"	"2014"	20	7999	2.5	1.5	3.9
	"Santa Clara County, CA"	"06085"	"2015"	"2015"	33	8015	4.1	2.8	5.8
"Total"	"Santa Clara County, CA"	"06085"			455	141698	3.2	2.9	3.5
"Total"	"Solano County, CA"	"06095"			69	13889	5.0	3.9	6.3
"Total"	"Sonoma County, CA"	"06097"			13	4279	3.0 (Unreliable)	1.6	5.2
"Total"	"Stanislaus County, CA"	"06099"			34	7543	4.5	3.1	6.3
"Total"	"Sutter County, CA"	"06101"			18	3386	5.3 (Unreliable)	3.2	8.4
"Total"	"Tulare County, CA"	"06107"			13	4429	2.9 (Unreliable)	1.6	5.0
